,English,Seto,Burgenland Croatian,Aranese,Cornish,Aromanian
English,Self-esteem,Self-innäng,Self-tovanje,Self-stima,Self-vri,Self- de sine
Seto,hindähesteem,hindähinnäng,hindähtovanje,hindähstima,hindähvri,hindäh de sine
Burgenland Croatian,samopošesteem,samopošinnäng,samopoštovanje,samopošstima,samopošvri,samopoš de sine
Aranese,Autoeesteem,Autoeinnäng,Autoetovanje,Autoestima,Autoevri,Autoe de sine
Cornish,Omesteem,Ominnäng,Omtovanje,Omstima,Omvri,Om de sine
Aromanian,respectesteem,respectinnäng,respecttovanje,respectstima,respectvri,respect de sine
