,English,Seto,Burgenland Croatian,Aranese,Cornish,Aromanian
English,Decolonisation,Decolonsatsiuun,Decolonizacija,Decolonnisacion,Decolonsigoleth,Decolonnizari
Seto,dekoloniisation,dekolonisatsiuun,dekoloniizacija,dekoloninisacion,dekolonisigoleth,dekoloninizari
Burgenland Croatian,dekolonisation,dekolonsatsiuun,dekolonizacija,dekolonnisacion,dekolonsigoleth,dekolonnizari
Aranese,Descoloisation,Descolosatsiuun,Descoloizacija,Descolonisacion,Descolosigoleth,Descolonizari
Cornish,Didreveisation,Didrevesatsiuun,Didreveizacija,Didrevenisacion,Didrevesigoleth,Didrevenizari
Aromanian,decoloisation,decolosatsiuun,decoloizacija,decolonisacion,decolosigoleth,decolonizari
