,English,Seto,Burgenland Croatian,Aranese,Cornish,Aromanian
English,Collaboration,Collabüüd tegemä',Collabdnja,Collabracion,Collaberyans,Collabtă deadun
Seto,ütehkuuh toration,ütehkuuh tüüd tegemä',ütehkuuh tdnja,ütehkuuh tracion,ütehkuuh teryans,ütehkuuh ttă deadun
Burgenland Croatian,suraoration,suraüüd tegemä',suradnja,suraracion,suraeryans,surată deadun
Aranese,Colabooration,Colaboüüd tegemä',Colabodnja,Colaboracion,Colaboeryans,Colabotă deadun
Cornish,Kesoboration,Kesobüüd tegemä',Kesobdnja,Kesobracion,Kesoberyans,Kesobtă deadun
Aromanian,lucru faporation,lucru fapüüd tegemä',lucru fapdnja,lucru fapracion,lucru faperyans,lucru faptă deadun
