,English,Seto,Burgenland Croatian,Aranese,Cornish,Aromanian
English,Flock (group of birds),Flock (grouuparv,Flock (grouto,Flock (groupèu,Flock (groues,Flock (grouzburători
Seto,tsirgp of birds),tsirguparv,tsirgto,tsirgpèu,tsirges,tsirgzburători
Burgenland Croatian,jap of birds),jauparv,jato,japèu,jaes,jazburători
Aranese,Trop of birds),Trouparv,Troto,Tropèu,Troes,Trozburători
Cornish,Hp of birds),Huparv,Hto,Hpèu,Hes,Hzburători
Aromanian,puil'i ap of birds),puil'i auparv,puil'i ato,puil'i apèu,puil'i aes,puil'i azburători
