,English,Seto,Burgenland Croatian,Aranese,Cornish,Aromanian
English,New Things,New Tõ as´a,New Tosti,New Tcauses,New T nowydh,New Ti nali
Seto,vahtshings,vahtsõ as´a,vahtsosti,vahtscauses,vahts nowydh,vahtsi nali
Burgenland Croatian,novhings,novõ as´a,novosti,novcauses,nov nowydh,novi nali
Aranese,Naues hings,Naues õ as´a,Naues osti,Naues causes,Naues  nowydh,Naues i nali
Cornish,Taklowhings,Taklowõ as´a,Taklowosti,Taklowcauses,Taklow nowydh,Taklowi nali
Aromanian,lucrurhings,lucrurõ as´a,lucrurosti,lucrurcauses,lucrur nowydh,lucruri nali
