,English,Seto,Burgenland Croatian,Aranese,Cornish,Aromanian
English,Migration of birds,Migrationäävä' är',Migrationselica,Migrationdes audèths,Migrations ydhyn,Migrationa puil'or
Seto,tsirgu' l of birds,tsirgu' läävä' är',tsirgu' lselica,tsirgu' ldes audèths,tsirgu' ls ydhyn,tsirgu' la puil'or
Burgenland Croatian,ptica  of birds,ptica äävä' är',ptica selica,ptica des audèths,ptica s ydhyn,ptica a puil'or
Aranese,Migracion  of birds,Migracion äävä' är',Migracion selica,Migracion des audèths,Migracion s ydhyn,Migracion a puil'or
Cornish,Divroan of birds,Divroanäävä' är',Divroanselica,Divroandes audèths,Divroans ydhyn,Divroana puil'or
Aromanian,migrari  of birds,migrari äävä' är',migrari selica,migrari des audèths,migrari s ydhyn,migrari a puil'or
