,English,Seto,Burgenland Croatian,Aranese,Cornish,Aromanian
English,Solidarity,Solidsüs,Solidarnost,Solidaritat,Solidreth,Solidritati
Seto,ütiarity,ütisüs,ütiarnost,ütiaritat,ütireth,ütiritati
Burgenland Croatian,solidarity,solidsüs,solidarnost,solidaritat,solidreth,solidritati
Aranese,Solidarity,Solidsüs,Solidarnost,Solidaritat,Solidreth,Solidritati
Cornish,Unvearity,Unvesüs,Unvearnost,Unvearitat,Unvereth,Unveritati
Aromanian,solidaarity,solidasüs,solidaarnost,solidaaritat,solidareth,solidaritati
